Title,Calories,Total Fat,Total Fat DVP,Saturated Fat,Saturated Fat DVP,Trans Fat,Trans Fat DVP,Polyunsaturated Fat,Polyunsaturated Fat DVP,Monounsaturated Fat,Monounsaturated Fat DVP,Cholesterol,Cholesterol DVP,Sodium,Sodium DVP,Total Carbohydrate,Total Carbohydrate DVP,Dietary Fiber,Dietary Fiber DVP,Sugars,Sugars DVP,Protein,Protein DVP
Hass Avocados,240,"(22, 'g')","(10, '%')","(3, 'g')","(0, '%')","(0, 'g')","(0, '%')","(3, 'g')","(0, '%')","(5, 'g')","(0, '%')","(0, 'mg')","(0, '%')","(10, 'mg')","(0, '%')","(3, 'g')","(1, '%')","(10, 'g')","(0, '%')","(1, 'g')","(0, '%')","(3, 'g')","(0, '%')"
Grape Tomato,25,"(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')",,,,,"(0, 'mg')","(0, '%')","(20, 'mg')","(1, '%')","(6, 'g')","(1, '%')","(1, 'g')","(4, '%')","(3, 'g')","(0, '%')","(1, 'g')","(0, '%')"
Clementines,103,"(1, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'mg')","(0, '%')","(4, 'mg')","(0, '%')","(26, 'g')","(3, '%')","(4, 'g')","(5, '%')","(1, 'g')","(0, '%')","(2, 'g')","(2, '%')"
Chewy Chocolate Fudge Brownie Mix,110,"(2, 'g')","(2, '%')","(0, '')","(3, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, '')","(0, '%')","(90, '')","(4, '%')","(22, 'g')","(8, '%')","(0, '//')","(3, '%')","(15, 'g')","(0, '%')","(1, 'g')","(0, '%')"
Chewy Chocolate Fudge Brownie Mix,110,"(2, 'g')","(2, '%')","(0, '')","(3, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, '')","(0, '%')","(90, '')","(4, '%')","(22, 'g')","(8, '%')","(0, '//')","(3, '%')","(15, 'g')","(0, '%')","(1, 'g')","(0, '%')"
"Lemons, each",90,"(1, 'g')","(2, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')",,,,,"(0, 'mg')","(0, '%')","(0, 'mg')","(0, '%')","(24, 'g')","(8, '%')","(1, 'g')","(4, '%')","(3, 'g')","(0, '%')","(1, 'g')","(0, '%')"
Mission Super Soft Taco Flour Tortillas,140,"(3, 'Grams')","(5, '%')","(1, 'g')","(5, '%')","(0, 'g')","(0, '%')","(1, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, 'mg')","(0, '%')","(410, 'mg')","(18, '%')","(6, 'Grams')","(9, '%')","(1, 'g')","(4, '%')","(1, 'g')","(0, '%')","(4, 'Grams')","(0, '%')"
Bar S Classic Chicken Franks,110,"(9, 'g')","(14, '%')","(3, 'g')","(15, '%')","(0, 'g')","(0, '%')",,,,,"(0, 'mg')","(13, '%')","(390, 'mg')","(16, '%')","(3, 'g')","(1, '%')","(0, 'g')","(0, '%')","(2, 'g')","(0, '%')","(3, 'g')","(0, '%')"
Sweet Potatoes Per Pound,120,"(14, 'g')","(22, '%')","(2, '')","(11, '%')","(0, '')","(0, '%')","(8, 'g')","(0, '%')","(4, '')","(0, '%')","(0, '')","(0, '%')","(0, '')","(0, '%')","(0, 'g')","(0, '%')","(0, 'g')","(0, '%')","(0, '')","(0, '%')","(0, 'g')","(0, '%')"
"Zero Calorie Sweetener, Sugar Substitute",,,,,,,,,,,,,,,,,,"(0, '//')","(2, '%')","(0, 'g')","(0, '%')",,
Ramen Noodle Chicken Flavor Soup,190,"(7, 'g')","(11, '%')","(4, '')","(18, '%')","(0, '')","(0, '%')",,,,,"(0, '')","(0, '%')","(0, '')","(35, '%')","(26, 'g')","(9, '%')","(0, '//')","(3, '%')","(1, '')","(0, '%')","(4, 'g')","(0, '%')"
Ramen Noodle Chicken Flavor Soup,190,"(7, 'g')","(11, '%')","(4, '')","(18, '%')","(0, '')","(0, '%')",,,,,"(0, '')","(0, '%')","(0, '')","(35, '%')","(26, 'g')","(9, '%')","(0, '//')","(3, '%')","(1, '')","(0, '%')","(4, 'g')","(0, '%')"
Ramen Noodle Chicken Flavor Soup,190,"(7, 'g')","(11, '%')","(4, '')","(18, '%')","(0, '')","(0, '%')",,,,,"(0, '')","(0, '%')","(0, '')","(35, '%')","(26, 'g')","(9, '%')","(0, '//')","(3, '%')","(1, '')","(0, '%')","(4, 'g')","(0, '%')"
